Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Guatemala,11.63 ,8.66 , 15.16,,11.02 ,8.24 , 14.45,,10.90 ,8.20 , 14.60,,10.85 ,8.17 , 14.53,,9.71 ,7.11 , 13.17,,8.94 ,6.57 , 12.27,,8.17 ,5.86 , 11.65,,7.86 ,5.79 , 11.17,,7.34 ,5.33 , 10.48,,6.38 ,4.48 , 9.41,,5.57 ,3.78 , 8.31,,5.05 ,3.44 , 7.39,,4.62 ,3.10 , 6.81,,4.10 ,2.71 , 6.22,,3.71 ,2.40 , 5.47,,3.60 ,2.38 , 5.18,,3.51 ,2.36 , 5.12,,3.43 ,2.32 , 4.98,,3.28 ,2.19 , 4.92,,3.16 ,2.11 , 4.82,
Guinea,12.62 ,10.08 , 15.59,,11.83 ,9.53 , 14.53,,11.09 ,8.95 , 13.47,,10.45 ,8.42 , 12.72,,10.12 ,8.14 , 12.31,,9.57 ,7.72 , 11.52,,9.29 ,7.55 , 11.43,,8.61 ,6.92 , 10.54,,8.49 ,6.94 , 10.37,,8.34 ,6.79 , 10.17,,7.62 ,6.19 , 9.41,,7.17 ,5.67 , 8.91,,6.76 ,5.34 , 8.49,,5.70 ,4.29 , 7.48,,5.65 ,4.30 , 7.49,,6.00 ,4.63 , 7.72,,5.63 ,4.27 , 7.44,,5.49 ,4.13 , 7.40,,5.02 ,3.64 , 6.83,,4.42 ,3.17 , 6.10,
Guinea-Bissau,19.07 ,16.78 , 22.67,,16.70 ,14.74 , 19.78,,14.48 ,12.69 , 17.04,,12.83 ,11.02 , 14.90,,11.54 ,9.87 , 13.08,,10.70 ,9.08 , 12.00,,9.97 ,8.48 , 11.25,,9.69 ,8.29 , 10.88,,9.25 ,8.05 , 10.37,,8.92 ,7.77 , 10.00,,8.48 ,7.31 , 9.68,,8.15 ,6.98 , 9.33,,7.67 ,6.48 , 8.80,,7.11 ,5.92 , 8.27,,6.62 ,5.50 , 7.65,,6.41 ,5.33 , 7.49,,5.96 ,4.83 , 7.05,,5.60 ,4.46 , 6.63,,5.56 ,4.52 , 6.69,,5.19 ,4.14 , 6.36,
Guyana,26.90 ,20.73 , 34.40,,24.89 ,20.21 , 30.64,,21.76 ,18.00 , 25.87,,19.13 ,16.10 , 22.39,,16.22 ,13.91 , 18.74,,13.31 ,11.32 , 15.14,,11.03 ,9.43 , 12.45,,9.19 ,7.87 , 10.31,,7.77 ,6.73 , 8.84,,7.50 ,6.60 , 8.60,,6.90 ,5.98 , 8.04,,6.45 ,5.44 , 7.53,,6.05 ,5.00 , 7.20,,5.62 ,4.49 , 6.84,,5.43 ,4.35 , 6.59,,5.13 ,4.07 , 6.36,,4.94 ,3.89 , 6.15,,4.74 ,3.74 , 5.93,,4.47 ,3.51 , 5.59,,4.08 ,3.23 , 5.21,
Haiti,8.21 ,7.29 , 9.28,,8.59 ,7.74 , 9.74,,8.39 ,7.48 , 9.44,,8.09 ,7.34 , 9.13,,7.64 ,6.85 , 8.66,,7.36 ,6.58 , 8.23,,7.23 ,6.52 , 8.20,,6.98 ,6.17 , 7.91,,6.66 ,5.87 , 7.56,,6.49 ,5.66 , 7.39,,6.34 ,5.55 , 7.28,,6.04 ,5.20 , 6.93,,5.71 ,4.85 , 6.69,,5.35 ,4.44 , 6.43,,5.09 ,4.19 , 6.18,,4.81 ,3.85 , 5.91,,4.58 ,3.61 , 5.67,,4.12 ,3.14 , 5.27,,3.73 ,2.76 , 4.92,,3.65 ,2.67 , 4.90,
Honduras,6.53 ,4.84 , 8.48,,5.40 ,3.91 , 7.07,,4.59 ,3.34 , 6.04,,3.92 ,2.93 , 5.21,,3.48 ,2.55 , 4.76,,3.33 ,2.39 , 4.56,,3.24 ,2.31 , 4.40,,3.24 ,2.33 , 4.38,,3.34 ,2.41 , 4.44,,3.43 ,2.51 , 4.61,,3.64 ,2.68 , 4.84,,3.88 ,2.84 , 5.16,,4.12 ,3.06 , 5.44,,4.35 ,3.21 , 5.68,,4.52 ,3.37 , 6.02,,4.70 ,3.43 , 6.35,,4.75 ,3.35 , 6.51,,4.67 ,3.28 , 6.48,,4.49 ,3.19 , 6.32,,4.34 ,3.09 , 6.33,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iceland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
India,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Indonesia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iran (Islamic Republic of),27.11 ,12.98 , 46.07,,24.64 ,14.19 , 40.74,,21.43 ,14.04 , 33.70,,18.36 ,12.44 , 26.92,,17.00 ,11.49 , 25.74,,15.36 ,10.04 , 22.94,,13.60 ,8.90 , 19.28,,12.37 ,8.14 , 17.90,,11.36 ,7.53 , 17.10,,10.57 ,6.70 , 16.81,,10.00 ,5.76 , 17.81,,9.61 ,5.02 , 18.56,,9.14 ,4.25 , 18.76,,8.73 ,3.69 , 19.82,,8.38 ,3.16 , 20.35,,7.96 ,2.89 , 20.28,,7.68 ,2.46 , 20.44,,7.35 ,2.22 , 20.70,,7.10 ,2.10 , 20.83,,6.89 ,2.06 , 20.24,
Ireland,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Italy,8.52 ,5.96 , 13.80,,8.45 ,5.92 , 13.48,,8.22 ,5.57 , 12.94,,7.85 ,5.01 , 12.08,,7.38 ,4.43 , 11.33,,6.84 ,3.91 , 10.41,,6.24 ,3.38 , 9.76,,5.61 ,2.72 , 9.09,,5.04 ,2.26 , 8.63,,4.54 ,1.87 , 8.08,,4.11 ,1.57 , 7.56,,3.73 ,1.33 , 7.03,,3.39 ,1.12 , 6.80,,3.10 ,0.93 , 6.54,,2.84 ,0.76 , 6.28,,2.61 ,0.71 , 6.06,,2.41 ,0.70 , 5.85,,2.23 ,0.67 , 5.77,,2.08 ,0.58 , 5.72,,1.92 ,0.49 , 5.95,
Jamaica,11.02 ,8.48 , 16.58,,10.42 ,8.01 , 15.36,,7.89 ,5.98 , 11.42,,8.35 ,6.32 , 12.02,,8.57 ,6.40 , 12.78,,8.40 ,6.32 , 12.85,,7.65 ,5.69 , 11.93,,7.68 ,5.64 , 11.86,,7.15 ,5.17 , 11.16,,7.25 ,5.20 , 11.33,,6.80 ,4.90 , 10.71,,6.57 ,4.67 , 10.32,,6.38 ,4.57 , 10.08,,6.17 ,4.41 , 9.81,,5.91 ,4.22 , 9.58,,5.72 ,4.07 , 9.38,,5.58 ,3.95 , 9.17,,5.42 ,3.78 , 8.93,,5.26 ,3.63 , 8.73,,5.09 ,3.52 , 8.51,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Jordan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Kazakhstan,16.79 ,14.50 , 21.43,,16.85 ,14.76 , 20.02,,16.62 ,14.81 , 19.38,,16.71 ,14.88 , 19.17,,16.62 ,14.85 , 18.81,,16.39 ,14.45 , 18.29,,16.93 ,15.20 , 18.73,,16.19 ,14.52 , 17.83,,16.07 ,14.33 , 17.65,,15.77 ,14.04 , 17.16,,15.40 ,13.76 , 16.72,,14.95 ,13.32 , 16.17,,14.81 ,13.38 , 16.27,,14.42 ,13.07 , 15.95,,14.06 ,12.70 , 15.74,,13.67 ,12.25 , 15.55,,12.62 ,11.22 , 14.59,,12.51 ,11.03 , 14.78,,11.73 ,10.17 , 14.10,,10.94 ,9.31 , 13.31,
Kenya,7.82 ,5.07 , 12.10,,7.38 ,4.78 , 11.43,,7.09 ,4.59 , 10.97,,6.88 ,4.46 , 10.65,,6.74 ,4.37 , 10.43,,6.58 ,4.26 , 10.18,,6.47 ,4.19 , 10.01,,6.21 ,4.03 , 9.62,,5.64 ,3.65 , 8.72,,5.55 ,3.59 , 8.58,,5.29 ,3.43 , 8.19,,4.76 ,3.08 , 7.37,,4.62 ,2.99 , 7.15,,4.41 ,2.86 , 6.83,,4.12 ,2.67 , 6.38,,3.66 ,2.37 , 5.66,,3.32 ,2.15 , 5.14,,3.15 ,2.04 , 4.87,,2.84 ,1.84 , 4.40,,2.77 ,1.80 , 4.29,
Kuwait,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Kyrgyzstan,14.45 ,<0.01 , <0.01,,15.77 ,<0.01 , <0.01,,16.99 ,<0.01 , <0.01,,18.07 ,<0.01 , <0.01,,18.99 ,18.99 , 18.99,,19.87 ,19.87 , 19.87,,20.42 ,20.42 , 20.42,,21.73 ,21.73 , 21.73,,22.06 ,22.06 , 22.06,,20.39 ,20.39 , 20.39,,18.76 ,18.76 , 18.76,,18.50 ,18.50 , 18.50,,17.96 ,17.96 , 17.96,,15.41 ,15.41 , 15.41,,14.22 ,14.22 , 14.22,,13.05 ,13.05 , 13.05,,12.05 ,12.05 , 12.05,,11.04 ,11.04 , 11.04,,10.01 ,10.01 , 10.01,,9.14 ,9.14 , 9.14,
Lao People's Democratic Republic,29.44 ,26.41 , 32.61,,29.74 ,26.73 , 32.86,,26.22 ,23.65 , 29.00,,22.88 ,20.59 , 25.32,,19.42 ,17.50 , 21.49,,17.98 ,16.17 , 19.79,,16.23 ,14.60 , 17.90,,15.55 ,14.01 , 17.20,,14.38 ,12.89 , 15.86,,13.04 ,11.69 , 14.42,,12.06 ,10.81 , 13.34,,10.92 ,9.73 , 12.03,,9.90 ,8.84 , 10.91,,9.23 ,8.23 , 10.15,,8.46 ,7.54 , 9.28,,7.83 ,6.97 , 8.60,,7.24 ,6.43 , 7.91,,6.75 ,6.02 , 7.40,,6.34 ,5.64 , 6.93,,5.98 ,5.36 , 6.55,
Latvia,12.44 ,7.29 , 17.17,,12.19 ,7.16 , 16.87,,11.97 ,6.99 , 16.54,,11.75 ,6.87 , 16.25,,11.54 ,6.74 , 15.92,,11.35 ,6.63 , 15.67,,11.13 ,6.53 , 15.36,,10.86 ,6.36 , 14.98,,10.45 ,6.11 , 14.43,,10.04 ,5.88 , 13.85,,9.61 ,5.63 , 13.25,,9.19 ,5.40 , 12.69,,8.81 ,5.16 , 12.16,,8.46 ,4.95 , 11.69,,8.13 ,4.76 , 11.22,,7.82 ,4.58 , 10.81,,7.49 ,4.39 , 10.34,,7.12 ,4.19 , 9.83,,6.77 ,3.99 , 9.34,,6.40 ,3.75 , 8.82,
Lebanon,12.57 ,7.72 , 19.75,,12.25 ,7.68 , 19.77,,11.76 ,7.35 , 18.82,,11.23 ,6.87 , 17.83,,11.16 ,6.65 , 18.17,,10.66 ,6.57 , 17.44,,10.45 ,6.27 , 17.01,,9.98 ,5.91 , 17.10,,9.80 ,5.85 , 16.68,,9.42 ,5.43 , 15.64,,9.16 ,5.17 , 15.95,,8.15 ,4.58 , 13.81,,9.28 ,5.00 , 16.40,,9.06 ,4.58 , 15.97,,8.69 ,4.44 , 15.38,,8.51 ,4.08 , 15.23,,8.15 ,3.70 , 14.87,,7.83 ,3.26 , 15.03,,7.39 ,2.51 , 14.06,,6.61 ,2.07 , 13.55,
Lesotho,13.33 ,11.85 , 14.88,,11.59 ,10.20 , 13.03,,10.40 ,9.25 , 11.70,,9.50 ,8.32 , 10.72,,8.82 ,7.66 , 9.87,,8.40 ,7.30 , 9.35,,8.02 ,7.01 , 8.80,,7.81 ,7.00 , 8.44,,7.58 ,6.96 , 8.22,,7.01 ,6.37 , 7.61,,6.43 ,5.67 , 7.04,,5.84 ,5.13 , 6.41,,5.40 ,4.74 , 5.93,,4.89 ,4.29 , 5.41,,4.42 ,3.87 , 4.91,,4.00 ,3.46 , 4.50,,3.77 ,3.26 , 4.25,,3.55 ,3.05 , 4.04,,3.31 ,2.81 , 3.85,,3.22 ,2.77 , 3.82,
Liberia,9.28 ,7.69 , 11.36,,8.50 ,7.21 , 10.10,,7.93 ,6.80 , 9.32,,7.39 ,6.31 , 8.77,,7.21 ,6.22 , 8.63,,7.15 ,6.12 , 8.73,,7.06 ,6.01 , 8.61,,6.92 ,5.79 , 8.57,,6.84 ,5.53 , 8.47,,6.73 ,5.41 , 8.52,,6.50 ,5.13 , 8.23,,6.21 ,4.77 , 7.97,,6.03 ,4.62 , 7.97,,6.05 ,4.56 , 8.17,,5.92 ,4.37 , 8.08,,5.63 ,4.11 , 7.89,,5.48 ,3.97 , 7.96,,5.31 ,3.76 , 7.81,,4.85 ,3.33 , 7.27,,4.61 ,3.11 , 7.12,
Libya,26.42 ,18.55 , 35.03,,26.37 ,18.43 , 34.85,,25.33 ,17.68 , 33.47,,22.52 ,15.75 , 29.79,,21.65 ,15.08 , 28.75,,20.65 ,14.39 , 27.45,,18.77 ,13.11 , 24.96,,17.30 ,12.09 , 23.00,,16.10 ,11.27 , 21.37,,14.50 ,10.13 , 19.27,,13.21 ,9.26 , 17.61,,12.13 ,8.50 , 16.11,,10.72 ,7.51 , 14.19,,9.53 ,6.67 , 12.65,,8.51 ,5.97 , 11.30,,7.63 ,5.36 , 10.08,,6.62 ,4.61 , 8.87,,5.55 ,3.87 , 7.42,,4.96 ,3.46 , 6.61,,4.59 ,3.17 , 6.12,
Lithuania,16.42 ,13.87 , 18.98,,34.19 ,28.87 , 39.60,,12.75 ,10.76 , 14.74,,12.72 ,10.72 , 14.79,,12.59 ,10.60 , 14.50,,12.44 ,10.48 , 14.35,,12.40 ,10.45 , 14.36,,12.26 ,10.31 , 14.21,,12.07 ,10.18 , 14.02,,11.83 ,10.00 , 13.76,,11.73 ,9.95 , 13.66,,11.55 ,9.81 , 13.48,,11.12 ,9.45 , 13.00,,10.69 ,9.10 , 12.53,,10.02 ,8.51 , 11.76,,9.79 ,8.29 , 11.48,,9.28 ,7.86 , 10.87,,8.89 ,7.52 , 10.43,,8.42 ,7.12 , 9.84,,7.72 ,6.55 , 9.04,
Luxembourg,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Madagascar,20.78 ,12.35 , 31.24,,19.47 ,12.43 , 27.13,,18.47 ,12.50 , 25.77,,18.45 ,12.72 , 26.30,,18.13 ,12.47 , 24.71,,18.34 ,12.99 , 25.07,,18.39 ,13.38 , 24.74,,18.76 ,13.83 , 24.82,,19.19 ,14.09 , 24.76,,19.97 ,15.23 , 24.89,,20.45 ,15.43 , 24.99,,20.56 ,16.25 , 25.16,,20.28 ,16.58 , 24.42,,20.04 ,16.78 , 24.98,,19.66 ,16.23 , 24.48,,19.09 ,15.48 , 23.97,,18.03 ,14.26 , 23.44,,16.97 ,12.76 , 23.06,,16.02 ,11.54 , 22.32,,15.14 ,10.09 , 21.62,
Malawi,9.75 ,9.02 , 10.46,,9.20 ,8.58 , 9.80,,8.77 ,8.23 , 9.33,,8.44 ,7.90 , 9.00,,8.10 ,7.58 , 8.60,,7.76 ,7.21 , 8.26,,7.36 ,6.88 , 7.88,,7.05 ,6.56 , 7.51,,6.57 ,6.05 , 7.08,,6.35 ,5.90 , 6.85,,6.16 ,5.72 , 6.64,,5.61 ,5.20 , 6.06,,5.09 ,4.67 , 5.55,,4.79 ,4.35 , 5.29,,4.49 ,4.03 , 4.94,,4.21 ,3.80 , 4.64,,3.96 ,3.56 , 4.37,,3.61 ,3.20 , 4.03,,3.35 ,2.90 , 3.81,,3.10 ,2.61 , 3.57,
Malaysia,11.62 ,10.02 , 13.16,,11.47 ,9.94 , 12.97,,10.70 ,9.34 , 12.07,,10.08 ,8.86 , 11.36,,9.56 ,8.45 , 10.74,,9.10 ,8.09 , 10.18,,8.80 ,7.88 , 9.80,,8.44 ,7.58 , 9.33,,8.16 ,7.37 , 8.95,,7.94 ,7.20 , 8.67,,7.61 ,6.91 , 8.28,,7.36 ,6.70 , 8.01,,7.26 ,6.63 , 7.88,,7.21 ,6.56 , 7.86,,7.00 ,6.31 , 7.63,,6.70 ,6.01 , 7.32,,6.75 ,6.03 , 7.44,,6.49 ,5.74 , 7.21,,6.75 ,5.90 , 7.55,,7.22 ,6.29 , 8.11,
Maldives,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mali,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Malta,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
